% Model:              Berian_potential.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 6 2024, 13:56
% Dimension:          3
% Nodes:              9875
% Expressions:        1
% Description:        Volume
% x                       y                        z                        Magnetic scalar potential
9.900476114655739         -14.799950031235307      -9.107252701889255       1.9541450229259593E-4
9.325379326524782         -15.182922625891697      -9.083840649890885       1.9794517115155833E-4
9.744159683162874         -15.223092370245716      -8.562056456015092       1.9152157266311465E-4
16.402296512353853        -6.727150605060822       9.257975688975119        4.6543825588246826E-5
16.384572181794486        -7.323861292552616       8.826485721226518        5.124012688070314E-5
16.01367117212595         -7.349179501170125       9.463186368797928        4.8076173787249455E-5
-18.60253423794114        -6.105366843576814       4.082917539160013        1.894477994069941E-4
-18.850662550483218       -5.743430915143478       3.4154827961480847       1.9172859817685395E-4
-18.818086480135598       -5.396553545046288       4.093510847864703        1.8523382175656894E-4
17.664450537372776        -6.7276623147314565      -6.5349634269560175      1.1878123216803096E-4
17.718497838416642        -6.087382121309642       -6.999900946383768       1.1860528292939318E-4
17.3682890429195          -6.713023749792281       -7.2991676139356505      1.2406963022866554E-4
-14.089579312435283       -1.3760659273199236      -14.1276394830228        2.689532872925744E-4
-13.522565390620718       -1.3760188705675427      -14.671291603816911      2.6339712804111353E-4
-13.842808715784749       -0.6886366191288578      -14.41882195135887       2.585363163951151E-4
16.306763070571655        -8.328575609058605       -8.045141793929703       1.3989618586365146E-4
16.077929061868026        -8.894205317175725       -7.898943527932234       1.4003252175664107E-4
16.439132068346208        -8.45454692354869        -7.633843930614815       1.3945844184561591E-4
17.478948112101854        -8.07270727772012        5.414588636516669        7.55373067995213E-5
17.14335078008974         -8.333930751754044       6.054017034644405        7.588549149475337E-5
17.45952657653401         -7.663400729829367       6.036325121905968        7.23968805331161E-5
-13.939524336418573       11.036323704136414       9.15910587185839         9.14589059590361E-5
-14.384085571450454       10.494408120060914       9.108538877492387        9.45507436868711E-5
-14.385174445446477       10.938955069848799       8.567731213915545        9.508999752459313E-5
-10.957024764922632       -11.470093841975684      12.18115575621392        1.5283094416599093E-4
-11.499756910953998       -10.918721656318807      12.187580087154313       1.5108265155218991E-4
-10.92706032844541        -10.855043808511109      12.758031842483346       1.429601847547318E-4
6.12603354918287          8.852792085782127        -16.855259868664117      1.1859912636617467E-4
6.796141129836161         8.433369815832743        -16.813409508269         1.1607655537247857E-4
6.78168998115218          9.099197023741112        -16.4685547186959        1.1945397158830984E-4
2.072117069180311         -6.434840494830677       18.822836094959197       4.226104559947438E-5
2.7575074780287885        -6.742797762050993       18.62607932036947        4.6833634917916674E-5
2.074814242426651         -7.178105769229025       18.551817793013825       5.111806603079074E-5
10.876371040677482        16.277812202238163       4.091134670745813        -1.7631708906726687E-5
11.507183984770283        15.83815817092033        4.091144399010601        -1.885032440692347E-5
11.107596286515424        15.937217182424423       4.756722949260805        -1.6739751039002792E-5
-17.133732184555434       -8.359581858106342       6.045875667390824        1.8759674187411045E-4
-17.47658394300625        -8.085898759422944       5.402523015723151        1.9391158129339784E-4
-17.45587294014028        -7.682210771737357       6.022967504169409        1.867656980682203E-4
-7.983987755275504        -0.6895651007670132      -18.32431279735791       2.4437439640929043E-4
-7.255468940796406        -0.6892777826544639      -18.62479708849139       2.4750549442964937E-4
-7.6536686473017905       9.373040810652591E-16    -18.477590650225732      2.356682012068134E-4
-4.256646759011784        19.433081908499872       2.058223968991076        7.140820878234081E-5
-3.82718806244128         19.58160604838945        1.3832339282943282       6.362958576127194E-5
-3.4730664162670988       19.58644644386492        2.0757951174932443       6.595943854607009E-5
17.05280328708186         0                        10.44997129431894        -9.055069619943356E-7
16.83020438781979         -0.6894708529789318      10.782803448412839       -5.841288809354158E-6
16.629392246050923        0                        11.111404660392013       -6.079447303022712E-6
-6.0978826544559865       11.994280376241154       -14.797062728413401      1.5541508714637592E-4
-6.746310271132324        11.550408485221613       -14.868603214496476      1.576823899836723E-4
-6.100599525856371        11.393334822698076       -15.263505725848706      1.5934630576114352E-4
-12.448773118040043       13.478318915440058       -7.960085870721132       1.4735296953254836E-4
-12.001505739663932       13.507798546867631       -8.57340296487073        1.4797141556455263E-4
-11.91564419990981        13.952310658884212       -7.959299628682258       1.464929596706253E-4
-7.378207194736956        -15.606887556578926      -10.098867232904569      2.6642263600833513E-4
-8.010509564707492        -15.18820542619627       -10.254274837617325      2.7901022230643894E-4
-7.989825289108623        -15.590679873648009      -9.648491743632635       2.7778312304662956E-4
17.00470896274265         -1.3792445613202282      10.437315628670436       3.606143379078468E-7
16.582210145022614        -1.3799728968855558      11.09621473792619        -5.414478270475456E-6
13.788020934116533        -14.340361851462145      2.0602186023558944       1.25746393684739E-4
14.008616829078715        -14.008602174312276      2.741846031035629        1.2237546609518025E-4
14.340362584132102        -13.788021942913614      2.060206751119057        1.2623922350508507E-4
-14.941313723620453       13.277181952163701       0.6881741214906296       1.2145824569327486E-4
-15.172120428012505       12.958215015091154       1.3752910021343248       1.2299901776561506E-4
-15.451054229465132       12.680352502065471       0.6881741214906318       1.21150889987252E-4
4.102523797253856         -14.846228906637158      12.757695158009419       1.0657159097594256E-4
4.773240981107747         -14.471101380427882      12.953894988521856       1.023348408209831E-4
4.770301625775985         -14.973232404554047      12.371197749544365       1.0589060493965159E-4
8.681721677578874         -17.899254527755996      -2.0601932102750395      1.5943891835035762E-4
7.972339848950652         -18.226283288450247      -2.060192908926854       1.608156578350257E-4
8.35337536004609          -18.11987189464656       -1.375268197760857       1.587406448966681E-4
