% Model:              Berian_potential_2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Mar 7 2024, 11:20
% Dimension:          3
% Nodes:              9882
% Expressions:        1
% Description:        Volume
% x                       y                        z                        Magnetic scalar potential
-1.96285644619798         2.275400995627803        10.58157572768418        -3.957383410866108E-6
-1.5401614718322423       2.499377153738588        10.600991297235042       -3.2031184825199573E-6
-1.5402210327950463       2.0863322178991117       10.689945605413149       -3.1828723739093234E-6
4.404054529132468         -6.189158794356015       7.9560428054827215       8.937827243985428E-6
4.0554158660229           -6.124690691673662       8.187903644092039        8.33170438572914E-6
4.401065505107627         -5.878348156126665       8.189972245075923        9.049627462098177E-6
1.5104297435232235        7.984873234443926        7.41352827065098         3.3044768962404836E-6
1.5118638121327073        7.68616179303512         7.722511554206356        3.2039561515491463E-6
1.1355770225558575        7.874036547127415        7.596710688208739        2.420076185464113E-6
5.360019641057044         7.629437974332233        -5.836254419000251       1.1424398453839624E-5
5.643251054854902         7.387271035832155        -5.880641476491687       1.214645687312526E-5
5.613651095722836         7.624072811315143        -5.600038851941562       1.2171285713287425E-5
-10.22847552421241        -2.228732149272698       -3.3780233062230245      -1.98889016702186E-5
-10.35023071361814        -2.218755338774871       -2.991629810242857       -1.9968519018117688E-5
-10.216789258608005       -2.5775191404327082      -3.158102646510257       -2.0033767949453648E-5
10.101902315917517        3.726738666444386        -2.25010855553428        2.0708733713084574E-5
9.94778647661206          4.120480913240852        -2.2501513858742896      2.0748664313651176E-5
9.94946538027906          3.894065690559353        -2.616178710301899       2.0659475122103082E-5
9.549729512469034         1.883439812029894        5.123994605104375        1.9365309659281024E-5
9.49953756737654          1.5099323441561536       5.336561657291412        1.9508735644080733E-5
9.340414954528216         1.883711242018201        5.496206003591921        1.9245832511579557E-5
-1.510873855791286        -7.983722387506813       -7.41467713599917        -2.6091431538122926E-6
-1.886530106068217        -8.079875469039171       -7.221953791303101       -3.5324265373961292E-6
-1.5120132035579485       -8.269699930009446       -7.094073522304949       -2.7088369287036666E-6
-2.634076987750721        -4.9664877355539145      -9.45492665202616        -4.862148220182821E-6
-2.635123995879239        -4.586068853226734       -9.644899895789745       -4.958779318043844E-6
-3.005223642542575        -4.736070775587554       -9.462466088020005       -5.62611573866431E-6
-2.0637433030672896       -1.45749176024895        10.705918052546979       -3.966112787118576E-6
-1.834132572389076        -1.1602796474306198      10.783770622869335       -3.5584375428550723E-6
-1.7739491678463764       -1.4843287863413017      10.754063064904152       -3.3551569857115655E-6
-8.270966598080602        -1.5103083871175509      7.092959897619422        -1.6727840912068868E-5
-8.360859710488034        -1.8842233512222553      6.89534098244943         -1.6610940968446223E-5
-8.544095036594836        -1.5101970317499747      6.761489845509567        -1.744235293850202E-5
-6.734101628638668        -7.875928102452032       -3.6907494875935862      -1.3764675824495608E-5
-6.419384733704349        -8.133512790376765       -3.692894437898419       -1.3007238948941763E-5
-6.493764854298945        -7.908075893184746       -4.036502655109003       -1.3005875533775949E-5
-0.7134817728259891       10.942762953726975       0.8642237548144164       -8.845131316922874E-7
-1.1519848578648593       10.894854345358574       0.9874612299586454       -1.8192945372049465E-6
-0.9882538876032452       10.936819886497386       0.6397851388961239       -1.4838032941454686E-6
-10.295675508193163       -3.79827522497505        0.7564199530235477       -2.1206866928696687E-5
-10.23729785940956        -4.0068011465013225      0.3785196297737949       -2.1597416440401247E-5
-10.386711548561898       -3.6017976201956112      0.3785196297737912       -2.1790045682360513E-5
9.764630595793736         2.253082571307421        -4.5360344194637205      1.9977957703342058E-5
9.583423608511819         2.254183118359454        -4.906796348812685       1.9632167127112975E-5
9.740119227582584         1.8853230759973778       -4.75138236007036        1.968497136544311E-5
-0.756776926832089        10.435525026739207       3.3951592156059824       -1.027455900931268E-6
-0.37856860440260964      10.51953408455264        3.1931314497990577       -2.7077543085699245E-7
-0.3785650567255373       10.385969517387947       3.603931975178604        -3.21062929296001E-7
2.5618415566018675        10.670745343480457       -0.756413678788147       5.48995857294208E-6
2.9787582359745812        10.561952717369381       -0.7564087305598004      6.176438814487921E-6
2.775762680089518         10.637287317116673       -0.37849712935632396     5.949737472183574E-6
9.878954744296673         3.556496916951765        3.2798754305386066       2.013579483902704E-5
10.05231584703241         3.2769305549002357       3.035238417301394        2.0387215084748514E-5
9.919999419492443         3.278735336048226        3.4414395408634277       2.052374176412128E-5
-8.765333146875413        -6.635183572589814       -0.37851523393572184     -1.8054223090926954E-5
-8.498079204595085        -6.974193365993261       -0.3785191225871093      -1.8092614173397997E-5
-8.618039904112143        -6.793910508103099       -0.7564180187019839      -1.770214116842886E-5
-9.017873283363448        3.704913504925636        5.094269070850039        -1.7514523704031142E-5
-9.00769515066183         4.0244180002560315       4.864718679631801        -1.7350633387401574E-5
-8.805304992996696        4.041983594963851        5.208548031683159        -1.706958880989094E-5
-5.53461030917053         4.407967413357375        8.422464722894524        -1.1114420732295487E-5
-5.781925000266625        4.063337682786614        8.429628115577701        -1.1742650236470616E-5
-5.861515735853264        4.408820173125813        8.197861791917658        -1.1772410813802932E-5
7.555819992742434         -7.264208037647432       -3.3377935560864342      1.5345251080972494E-5
7.7743799167244925        -7.1885805608162         -2.9804909714820935      1.5660806432404008E-5
7.8321168945281805        -6.965014806134784       -3.338639498473811       1.5945766951368124E-5
-4.946756401879907        -9.7085241940095         -1.5080315231427575      -9.336343983665967E-6
-5.157768652640137        -9.64953199400528        -1.1331173030676043      -9.932954958623555E-6
-4.774981476855001        -9.844570578248963       -1.1331293066400097      -9.2262474557411E-6
